Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,137.8,-106.0,0.0,top
C10,1uF,C_0402_1005Metric,163.5,-90.62,90.0,top
C11,1uF,C_0402_1005Metric,177.0,-94.0,-90.0,top
C2,0.1uF,C_0402_1005Metric,137.8,-107.0,0.0,top
C3,1uF,C_0402_1005Metric,141.4,-106.5,-90.0,top
C4,10nF,C_0402_1005Metric,169.719999,-100.37,-90.0,top
C5,0.1uF,C_0402_1005Metric,167.6,-95.8,180.0,top
C6,2.2nF,C_0402_1005Metric,162.5,-97.1,90.0,top
C7,0.1uF,C_0402_1005Metric,169.719999,-98.37,90.0,top
C9,0.1uF,C_0402_1005Metric,161.42,-108.15,180.0,top
CR1,MBRS130LT3G,DIODE_SMB_2L_ONS,167.7,-91.7,180.0,top
D1,LED,LED_0603_1608Metric,170.9,-113.7,180.0,top
D2,LED,LED_0603_1608Metric,170.9,-112.0,180.0,top
H1,MountingHole,hole,176.87,-89.065,0.0,top
H2,MountingHole,hole,176.87,-111.465,0.0,top
H3,MountingHole,hole,139.47,-111.465,0.0,top
J3,B2B-PH-K-S,JST_B2B-PH-K-S,167.6,-87.35,0.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_Palconn_UTC16-G,152.5,-110.9,0.0,top
LS1,HNB09A03,HNB09A03,175.7,-102.4,180.0,top
Q1,IRLML6244,SOT-23,170.7,-108.0,0.0,top
R1,1k,C_0402_1005Metric,168.2,-113.5,0.0,top
R11,10k,C_0402_1005Metric,140.0,-106.5,-90.0,top
R12,5.1k,R_0402_1005Metric,157.9,-106.1,90.0,top
R16,27,R_0402_1005Metric,153.5,-106.2,90.0,top
R17,27,R_0402_1005Metric,152.5,-106.2,90.0,top
R2,4.7k,C_0402_1005Metric,160.7,-100.9,90.0,top
R3,4.7k,C_0402_1005Metric,160.7,-98.8,-90.0,top
R4,1k,C_0402_1005Metric,177.0,-96.5,-90.0,top
R6,5.1k,R_0402_1005Metric,158.9,-106.090001,-90.0,top
R7,2k,C_0402_1005Metric,168.2,-112.3,0.0,top
R8,100k,C_0402_1005Metric,168.25,-107.4,-90.0,top
SW1,RESET,SW_SPST_B3U-1000P,144.8,-107.8,180.0,top
SW2,BOOT,SW_SPST_B3U-1000P,163.3,-112.5,180.0,top
U1,MS5611-01BA,LGA-8_3x5mm_P1.25mm,163.775,-105.825,90.0,top
U2,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,165.9,-99.0,90.0,top
U4,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1,146.16,-95.35,90.0,top
U5,AP2112K-3.3,SOT_RG1_DIO,173.9,-94.5,0.0,top
