Designator,Mid X,Mid Y,Rotation,Layer
C1,137.8,-106.0,0.0,top
C10,171.08,-98.73,90.0,top
C2,137.8,-107.0,0.0,top
C3,141.4,-106.5,270.0,top
C4,169.719999,-100.37,270.0,top
C5,167.6,-95.8,180.0,top
C6,162.5,-97.1,90.0,top
C7,169.719999,-98.37,90.0,top
C8,177.39,-96.35,90.0,top
C9,161.42,-108.15,180.0,top
CR1,167.7,-91.7,180.0,top
D1,170.9,-113.7,180.0,top
D2,170.9,-112.0,180.0,top
J3,167.6,-87.35,0.0,top
J4,152.5,-110.9,0.0,top
LS1,175.7,-102.999999,270.0,top
Q1,170.7,-108.0,180.0,top
Q2,173.13,-92.89,180.0,top
R1,168.2,-113.5,0.0,top
R11,140.0,-106.5,270.0,top
R12,157.9,-106.1,90.0,top
R16,153.5,-106.2,90.0,top
R17,152.5,-106.2,90.0,top
R2,159.4,-100.88,90.0,top
R3,159.402235,-98.866769,270.0,top
R4,169.719999,-103.55,90.0,top
R5,177.37,-94.42,90.0,top
R6,158.9,-106.090001,270.0,top
R7,168.2,-112.3,0.0,top
R8,168.25,-107.4,270.0,top
R9,163.5,-90.62,270.0,top
SW1,144.8,-107.8,270.0,top
SW2,163.3,-112.5,270.0,top
U1,163.775,-105.825,90.0,top
U2,165.9,-99.0,90.0,top
U4,142.39,-95.35,90.0,top
U5,173.18,-96.42,180.0,top
