Designator,Mid X,Mid Y,Rotation,Layer
C1,137.8,-106.0,0.0,top
C10,163.5,-90.62,90.0,top
C11,177.0,-94.0,270.0,top
C2,137.8,-107.0,0.0,top
C3,141.4,-106.5,270.0,top
C4,169.719999,-100.37,270.0,top
C5,167.6,-95.8,180.0,top
C6,162.5,-97.1,90.0,top
C7,169.719999,-98.37,90.0,top
C9,161.42,-108.15,180.0,top
CR1,167.7,-91.7,180.0,top
D1,170.9,-113.7,180.0,top
D2,170.9,-112.0,180.0,top
J3,167.6,-87.35,0.0,top
J4,152.5,-110.9,0.0,top
LS1,175.7,-102.4,180.0,top
Q1,170.7,-108.0,180.0,top
R1,168.2,-113.5,0.0,top
R11,140.0,-106.5,270.0,top
R12,158.6,-110.0,90.0,top
R16,153.5,-106.2,90.0,top
R17,152.5,-106.2,90.0,top
R2,160.7,-100.9,90.0,top
R3,160.7,-98.8,270.0,top
R4,178.8002,-97.4,180.0,top
R5,157.4,-102.335,0.0,top
R6,158.6,-112.0,90.0,top
R7,168.2,-112.3,0.0,top
SW1,144.9,-109.1,180.0,top
SW2,163.3,-112.5,270.0,top
U1,163.775,-105.825,90.0,top
U2,165.9,-99.0,90.0,top
U4,146.089,-95.35,90.0,top
U5,173.9,-94.5,0.0,top
